Date,Open,High,Low,Close,Adj Close,Volume
2019-07-15,80.470001,82.879997,79.169998,80.739998,71.095093,12609600
2019-07-22,80.910004,82.650002,80.360001,82.110001,72.301422,9469100
2019-07-29,82.379997,83.309998,80.029999,80.510002,70.892555,10656500
2019-08-05,80.000000,82.339996,77.500000,81.830002,72.054886,12585600
2019-08-12,81.599998,82.599998,79.389999,82.389999,72.547997,12137700
2019-08-19,82.870003,84.220001,81.470001,81.889999,72.107719,8450400
2019-08-26,82.699997,84.220001,81.760002,83.620003,73.631058,8633800
2019-09-02,83.150002,85.760002,83.000000,84.790001,74.661293,8729800
2019-09-09,84.910004,85.139999,81.860001,84.190002,74.132965,10248600
2019-09-16,84.290001,86.940002,84.070000,84.349998,74.273865,12729400
2019-09-23,84.000000,86.709999,83.779999,85.779999,76.003738,10110900
2019-09-30,85.769997,86.330002,83.230003,86.190002,76.367004,9715500
2019-10-07,85.639999,86.489998,84.320000,85.839996,76.056870,7046700
2019-10-14,85.970001,89.910004,85.580002,89.610001,79.397217,9776900
2019-10-21,89.739998,92.489998,89.510002,90.860001,80.504768,10462300
2019-10-28,87.720001,88.750000,85.809998,87.440002,77.474533,35347600
2019-11-04,87.180000,87.980003,85.080002,87.070000,77.146698,15090100
2019-11-11,86.970001,89.709999,86.570000,89.099998,78.945343,12262200
2019-11-18,89.110001,91.720001,89.099998,90.559998,80.238945,13776900
2019-11-25,90.949997,92.800003,90.570000,91.550003,81.116119,11640800
2019-12-02,91.470001,91.940002,89.580002,91.430000,81.009811,12126000
2019-12-09,91.650002,92.250000,87.540001,88.540001,78.449158,14850000
2019-12-16,89.070000,89.370003,86.699997,88.029999,77.997284,17552400
2019-12-23,88.260002,88.959999,87.389999,88.669998,79.044167,4694700
2019-12-30,88.500000,89.860001,87.550003,89.389999,79.686020,8062600
2020-01-06,89.440002,89.809998,87.879997,89.440002,79.730598,9755300
2020-01-13,89.540001,94.779999,89.500000,94.269997,84.036270,16187800
2020-01-20,94.150002,96.779999,93.120003,96.150002,85.712181,13172900
2020-01-27,95.389999,96.959999,92.510002,92.879997,82.797127,16428900
2020-02-03,93.500000,94.129997,91.519997,93.139999,83.028923,41498400
2020-02-10,93.730003,97.639999,93.370003,97.550003,86.960190,18365700
2020-02-17,97.629997,99.790001,96.910004,99.230003,88.457817,18842300
2020-02-24,97.790001,98.639999,80.940002,84.279999,75.130745,27169300
2020-03-02,84.699997,94.470001,82.279999,85.879997,76.557045,24466300
2020-03-09,80.830002,81.019997,62.009998,77.820000,69.372040,35686200
2020-03-16,69.220001,73.040001,62.419998,62.820000,56.467083,34165900
2020-03-23,63.000000,82.000000,59.820000,79.169998,71.163612,29899300
2020-03-30,80.790001,83.739998,69.000000,73.589996,66.147926,34892900
2020-04-06,78.029999,92.540001,77.040001,91.730003,82.453430,24697400
2020-04-13,90.940002,91.699997,84.889999,90.220001,81.096138,18350200
2020-04-20,88.989998,90.779999,83.709999,89.040001,80.035477,16651800
2020-04-27,90.830002,94.180000,86.089996,86.849998,78.066933,14852800
2020-05-04,85.849998,90.300003,85.250000,89.970001,80.871437,11287900
2020-05-11,88.709999,90.230003,80.120003,83.279999,74.857971,21365000
2020-05-18,86.349998,87.739998,84.529999,87.550003,78.696159,13103600
2020-05-25,90.180000,93.339996,88.820000,91.500000,82.246689,12175200
2020-06-01,91.959999,97.720001,91.540001,95.709999,86.030930,15362400
2020-06-08,95.699997,98.209999,90.800003,94.459999,84.907349,18043600
2020-06-15,90.910004,98.309998,90.870003,91.870003,82.579269,24274400
2020-06-22,91.820000,93.830002,87.930000,89.830002,81.244423,17945500
2020-06-29,90.910004,97.190002,89.470001,95.550003,86.417732,12703600
2020-07-06,97.000000,97.940002,93.910004,94.820000,85.757515,13765100
2020-07-13,95.480003,96.440002,92.059998,95.339996,86.227798,18987800
2020-07-20,94.930000,100.610001,94.599998,99.910004,90.361015,15457900
2020-07-27,99.559998,106.730003,98.419998,105.419998,95.344391,16872100
2020-08-03,105.480003,106.500000,104.000000,105.070000,95.027855,10359500
2020-08-10,105.309998,105.639999,100.080002,102.320000,92.540688,13775300
2020-08-17,102.300003,104.320000,101.250000,103.040001,93.191872,9610600
2020-08-24,102.529999,102.680000,100.300003,102.489998,92.694443,11893900
2020-08-31,102.440002,104.660004,98.190002,100.760002,91.129776,12013300
2020-09-07,100.070000,101.599998,98.309998,100.209999,90.632355,9386300
2020-09-14,100.919998,103.580002,98.699997,99.519997,90.008293,12595300
2020-09-21,98.120003,99.989998,94.760002,97.669998,88.836662,13984700
2020-09-28,99.129997,104.739998,98.370003,104.220001,94.794273,15492400
2020-10-05,105.000000,109.110001,103.430000,106.910004,97.241013,11742200
2020-10-12,107.800003,108.849998,103.080002,104.260002,94.830681,8516100
2020-10-19,105.120003,105.239998,102.269997,103.239998,93.902916,8684400
2020-10-26,101.949997,102.129997,96.570000,99.199997,90.228294,10900100
2020-11-02,100.720001,107.629997,100.360001,104.889999,95.403687,8669700
2020-11-09,111.559998,112.370003,98.139999,103.529999,94.166687,21057200
2020-11-16,104.459999,104.680000,98.620003,100.269997,91.201508,10863100
2020-11-23,99.959999,100.879997,98.500000,100.599998,91.501694,8586000
2020-11-30,100.470001,101.910004,96.589996,98.660004,89.737152,17800300
2020-12-07,98.050003,98.790001,95.160004,97.370003,88.563805,14554200
2020-12-14,97.900002,100.760002,96.620003,98.070000,89.200500,19792900
2020-12-21,96.309998,98.919998,95.989998,97.239998,88.962326,8840800
2020-12-28,97.889999,99.800003,97.279999,99.660004,91.176315,5977000
2021-01-04,99.550003,99.889999,93.389999,96.599998,88.376823,18472500
2021-01-11,95.970001,97.730003,93.080002,97.680000,89.364861,13369200
2021-01-18,98.400002,101.769997,96.949997,101.220001,92.603508,10962100
2021-01-25,101.389999,106.949997,100.820000,103.199997,94.414970,15673000
2021-02-01,104.010002,107.440002,102.250000,106.699997,97.617027,11974000
2021-02-08,106.750000,109.089996,105.910004,107.669998,98.504448,7481400
2021-02-15,108.040001,108.290001,104.900002,105.300003,96.336212,9093700
2021-02-22,104.500000,105.870003,99.010002,99.070000,90.636528,17310500
2021-03-01,100.110001,101.099998,94.139999,97.370003,89.081253,18229100
2021-03-08,97.339996,101.290001,95.919998,101.290001,92.667564,14715600
2021-03-15,101.239998,104.690002,99.669998,100.379997,91.835014,17978500
2021-03-22,100.650002,106.959999,100.040001,106.779999,98.296745,13161700
2021-03-29,106.730003,108.610001,104.989998,108.500000,99.880089,13090500
2021-04-05,109.000000,110.320000,107.769997,109.510002,100.809860,14708900
2021-04-12,109.580002,113.029999,108.339996,112.559998,103.617546,10695300
2021-04-19,112.000000,115.860001,110.690002,114.870003,105.744034,12062200
2021-04-26,115.230003,116.970001,114.709999,116.529999,107.272141,11275200
2021-05-03,116.839996,116.930000,112.470001,116.019997,106.802658,11731300
2021-05-10,116.059998,117.610001,112.000000,114.650002,105.541496,10073100
2021-05-17,114.750000,118.000000,113.389999,117.529999,108.192703,10042900
