Date,MMM,MSFT,JPM,PLD,AMZN,XOM,JNJ,ATT
2019-07-15,0.007937117996186117,0.034548436671056684,0.02360401183605533,0.016967823644312506,-0.010928898884794275,-0.002400468843525346,0.0032229585604493845,0.041475804761200594
2019-07-22,-0.0197149440339551,-0.03141370605602711,-0.028308455484381566,-0.019486020620728604,-0.06166072151146792,-0.04090367389167624,0.0026010158462454105,0.0005860589244932488
2019-07-29,-0.04151257267860681,0.005916946980908515,-0.02824753438050969,0.01639567088532773,-0.008589159674343738,-0.012682761553248677,0.007400493817978093,0.010828075672480418
2019-08-05,-0.012051285746501899,-0.011473247463602867,-0.01840721548719876,0.0068435470149796505,-0.008303876084131828,-0.035855377474093626,-0.005149820960312611,0.01244950674477937
2019-08-12,-0.026154187358650435,-0.01686502430079558,-0.015781599380596638,-0.0060687822987034665,-0.023960001027351727,0.0004269280814494899,-0.02763411286955438,-0.004289616692239657
2019-08-19,0.03766428846588763,0.03351068382672632,0.03621962329332819,0.02112587974111333,0.015243263728926345,0.014668727171990657,0.004932451877530069,0.012636368125060556
2019-08-26,0.013727560346041312,0.008994772219182913,0.02503188059459417,0.013991853817990837,0.03221320879150604,0.035776992415703764,0.00631590060155177,0.028077312613646793
2019-09-02,0.0457485085049452,-0.012796554311494632,0.06766718615987115,-0.007076330703246753,0.00317973726000666,0.02410831651644806,0.020045155589063272,0.04579292989488564
2019-09-09,-0.027298266239400418,0.015438372016511404,-0.011062106456232621,0.001900638939775335,-0.024563190343388778,-0.007709273940829395,0.006652425727797448,0.0
2019-09-16,-0.013372423846411397,-0.012263539347976355,-0.00992416645598926,0.023290466976506444,-0.038296484148570946,-0.008324032487550629,-0.023167301133978507,-0.01266164103036087
2019-09-23,-0.052938681465038884,0.0028315450549825844,-0.026333840628058,0.0047795807095697826,0.008229725674226853,-0.035114786482337235,0.03934670710533861,0.0021374570596893344
2019-09-30,0.014632161147195365,0.011294896293067557,0.021378153979829412,-0.004061099476941518,-0.004443388139991169,0.00014509057295120328,-0.01743233267173499,0.0018661430745334322
2019-10-07,0.031625648583789794,-0.01625181717671955,0.03805738381256876,0.04391907003272675,0.014775543734404149,-0.019860873450269653,-0.027640479213439453,0.04246379389392756
