Date,Open,High,Low,Close,Adj Close,Volume
2020-06-22,131.270905,132.667221,125.501671,127.525085,107.315292,14654109
2020-06-29,128.678925,132.842804,128.327759,131.304352,110.495613,10399341
2020-07-06,132.834442,133.745819,126.245819,127.801003,107.547470,11335329
2020-07-13,129.055191,135.083618,128.695648,133.637131,112.458702,15837671
2020-07-20,132.817719,135.117050,130.744141,133.645493,112.465736,13953374
2020-07-27,133.386292,136.605347,124.414719,125.811035,105.872864,24684722
2020-08-03,126.329430,132.458191,124.841141,132.382950,111.403297,14250220
2020-08-10,132.566895,140.041809,132.566895,138.879593,116.870338,15078929
2020-08-17,138.102005,139.105347,134.397995,135.209030,113.781502,11476698
2020-08-24,135.075256,138.938126,134.740799,138.511703,117.621742,14852525
2020-08-31,138.093643,142.491638,135.150497,138.603683,117.699837,19703144
2020-09-07,138.444809,139.916382,135.351166,138.938126,117.983841,11168606
2020-09-14,140.183945,144.816055,138.938126,141.764221,120.383728,16854989
2020-09-21,138.779266,139.356186,132.165558,134.005020,113.794724,14091630
2020-09-28,135.451508,137.240799,130.643814,134.080261,113.858627,13060081
2020-10-05,135.660538,142.541809,135.250839,141.555191,120.206207,11424670
2020-10-12,141.697327,143.871231,138.628769,142.951508,121.391945,10358438
2020-10-19,142.993317,144.807693,140.794312,141.973251,120.561226,10805501
2020-10-26,140.200668,140.543472,130.543472,133.745819,113.574631,18195585
2020-11-02,135.610367,139.489960,133.695648,136.304352,115.747307,13177408
2020-11-09,145.593643,146.680603,136.413040,141.964890,120.554123,17738713
2020-11-16,144.331100,146.070236,141.555191,144.556854,122.755173,15886348
2020-11-23,145.284286,150.192307,145.025085,147.901337,126.681755,10129642
2020-11-30,146.964890,147.157196,142.148834,144.197327,123.509132,20887065
2020-12-07,143.578598,146.856186,141.454849,145.501678,124.626350,13338988
2020-12-14,146.881271,148.377930,144.272568,147.508362,126.345123,17856759
2020-12-21,145.158859,147.265884,144.673920,145.919739,124.984421,6583502
2020-12-28,146.580261,147.491638,144.774246,146.145493,125.177803,7035231
2021-01-04,146.321075,147.324417,137.633774,139.314377,119.326729,23094042
2021-01-11,138.879593,140.250839,136.605347,138.419739,118.560471,17018841
2021-01-18,139.849503,143.386292,139.464890,141.337799,121.059845,13889148
2021-01-25,141.204010,156.580261,140.660538,146.872910,125.800842,29864000
2021-02-01,147.132111,149.857864,145.108704,149.673920,128.199997,14284664
2021-02-08,149.916382,152.491638,147.023407,149.414719,127.977951,11358173
2021-02-15,149.665558,151.145493,146.438126,147.608704,127.472939,10149257
2021-02-22,147.541809,151.128769,145.284286,146.371231,126.404266,15983345
2021-03-01,146.906357,151.806015,145.543472,151.170563,130.548904,14565725
2021-03-08,151.329437,155.693985,151.279266,154.615387,133.523804,15376494
2021-03-15,155.543472,160.610367,155.275925,157.784286,136.260406,21382686
2021-03-22,157.408020,163.001678,156.362869,162.943146,140.715546,15669753
2021-03-29,161.889633,164.481598,159.565216,161.120407,139.141479,10533770
2021-04-05,162.115387,166.354507,161.964890,165.551834,142.968399,11348366
2021-04-12,165.719070,166.948166,163.060196,166.036789,143.387177,11658489
2021-04-19,165.643814,169.866226,164.439804,169.063538,146.001007,12656671
2021-04-26,169.715714,169.724075,157.717392,164.832779,142.347397,17599020
2021-05-03,165.543472,170.459869,164.431442,169.790970,146.629211,11196355
2021-05-10,171.404678,174.707352,165.877930,170.886292,147.575150,13341978
2021-05-17,171.070236,171.697327,166.663879,168.779266,145.755569,10135382
2021-05-24,169.565216,170.894653,167.474915,169.765884,147.686432,10877261
2021-05-31,171.387955,172.341141,168.737457,172.282608,149.875839,8629619
2021-06-07,172.533447,172.918060,168.177261,169.573578,147.519119,10273043
2021-06-14,169.138794,170.225754,160.142136,160.200668,139.365250,15924739
2021-06-21,161.864548,164.406357,160.234116,162.834442,141.656494,18711181
2021-06-28,163.678925,167.466553,162.533447,167.132111,145.395203,11985474
2021-07-05,164.222412,168.812714,162.842804,168.060196,146.202576,10590102
2021-07-12,165.635452,169.908020,165.468231,166.697327,145.016983,13063669
2021-07-19,165.376251,169.632111,163.135452,167.633774,145.831619,13395081
2021-07-26,167.600327,169.515045,162.968231,165.501678,143.976837,13848125
2021-08-02,166.446487,169.071899,164.882950,165.660538,144.115021,9913763
2021-08-09,165.259201,169.205688,164.531769,167.709030,145.897079,9749313
2021-08-16,168.135452,169.540131,161.680603,162.341141,141.227341,12822555
2021-08-23,163.043472,164.431442,161.137131,163.085281,142.957718,10265388
2021-08-30,163.193985,164.958191,161.321075,162.533447,142.473969,11436390
2021-09-06,161.304352,162.683945,154.264221,154.306015,135.261963,17712282
2021-09-13,154.933105,157.123749,150.008362,151.747498,133.019226,28940809
2021-09-20,149.364548,152.884613,148.578598,151.371231,132.689362,16285215
2021-09-27,151.195648,153.143814,145.668900,147.725754,129.493774,13959952
2021-10-04,145.610367,151.153839,145.301010,147.951508,129.691711,14715107
2021-10-11,148.846161,153.010040,146.354507,152.123749,133.349014,13535730
2021-10-18,151.162201,153.252502,149.949829,151.170563,132.513458,11036449
2021-10-25,150.919739,153.695648,148.896317,149.397995,130.959686,15514632
2021-11-01,149.272568,153.695648,148.419739,152.006683,133.246399,12046829
2021-11-08,152.725754,155.769226,150.091980,153.561874,134.609650,14043790
2021-11-15,153.921402,154.715714,148.929764,149.857864,131.362778,12803061
2021-11-22,149.874588,152.408020,144.983276,146.755859,129.690552,9229412
2021-11-29,147.550171,147.851166,141.454849,144.306015,127.525558,20698694
2021-12-06,145.919739,149.113708,145.484955,148.076920,130.857986,13122035
2021-12-13,147.993317,149.615387,145.384613,146.112045,129.121597,15858959
2021-12-20,144.824417,146.839462,142.943146,146.295990,129.284149,9512027
2021-12-27,146.446487,149.816055,146.245819,148.520065,131.249573,7780817
2022-01-03,149.096985,151.989960,147.023407,150.459869,132.963806,15202235
2022-01-10,150.041809,151.622070,147.508362,149.448166,132.069778,12787034
2022-01-17,148.979935,151.229095,144.280930,144.356186,127.569893,12768019
2022-01-24,143.695648,146.530106,134.230774,136.371231,120.513496,27719932
2022-01-31,136.036789,141.513382,133.862869,134.389633,118.762314,21438060
2022-02-07,134.406357,137.341141,132.775925,133.394653,117.883026,17012502
2022-02-14,133.235779,133.436462,123.110367,123.428093,109.075409,28305373
2022-02-21,123.913040,126.889633,116.839462,125.844482,112.285851,25349819
2022-02-28,124.824417,125.409698,120.526756,122.683945,109.465828,21890627
2022-03-07,121.856186,124.974915,117.750839,117.859535,105.161201,24446240
2022-03-14,118.269234,124.122070,118.269234,124.013374,110.652016,25989081
2022-03-21,124.322739,126.404678,123.244148,125.802673,112.248528,18753280
2022-03-28,125.359535,128.143814,122.784279,125.158859,111.674095,15737446
2022-04-04,124.632111,126.797661,122.140465,125.259193,111.763611,14920579
2022-04-11,125.794312,127.274246,123.085281,123.227425,109.950745,11260221
2022-04-18,123.285950,128.010040,121.864548,124.724083,111.286148,13809374
2022-04-25,124.339462,124.607025,119.456520,120.585281,107.593269,21631932
2022-05-02,120.827759,129.314377,120.217392,125.025085,111.554726,18784854
2022-05-09,124.113708,128.795990,122.081940,124.832779,111.383133,19119974
2022-05-16,124.765884,127.508362,117.968224,120.259193,107.302322,17606674
2022-05-23,120.886292,125.016724,117.892975,125.008362,112.667007,13461937
2022-05-30,123.971573,125.284279,120.819397,122.048492,109.999344,12357191
2022-06-06,122.399666,123.160538,115.033447,115.091972,103.729614,15720822
2022-06-13,114.322739,115.677261,107.625420,108.561874,97.844193,25081794
2022-06-20,108.979935,112.500000,107.182274,112.316055,101.227745,14984564
2022-06-27,112.382942,112.600334,105.861206,107.433113,96.826859,17557162
2022-07-04,106.170570,109.523415,105.016724,107.625420,97.000191,15043050
2022-07-11,107.633781,110.392975,105.250839,108.804352,98.062721,15530898
2022-07-18,108.854515,112.834450,107.458191,112.140465,101.069473,12901133
2022-07-25,112.040131,121.822739,111.856186,119.765884,107.942093,32325608
2022-08-01,118.854515,124.155518,118.352844,123.252510,111.084503,21984153
2022-08-08,123.770905,127.341141,123.068565,127.290970,114.724266,15995424
2022-08-15,126.580269,127.173912,119.740807,121.404678,109.419090,35850219
2022-08-22,119.799332,120.409698,107.591972,107.976585,98.315384,151547552
2022-08-29,107.683945,107.683945,101.295990,101.714050,92.613182,191345648
2022-09-05,101.471573,103.085281,96.973244,102.926422,93.717087,143835505
2022-09-12,103.946487,105.785950,95.409698,97.500000,88.776184,52292110
2022-09-19,96.998329,98.687294,93.327759,94.473244,86.020248,22057828
2022-09-26,94.280937,95.911369,92.299332,92.391304,84.124603,19170206
2022-10-03,93.386292,97.073578,89.540131,89.899666,81.855896,20216467
2022-10-10,90.744148,96.287628,89.523415,95.008362,86.507500,19687116
2022-10-17,96.413040,97.775917,94.389633,97.667221,88.928444,17499274
2022-10-24,98.269234,105.911369,94.607025,105.852844,96.381660,24596817
2022-10-31,105.434784,106.270905,101.270905,104.381271,95.041763,15963251
2022-11-07,104.205688,111.613708,103.093643,111.187294,101.238815,14484158
2022-11-14,110.827759,111.964882,104.239128,105.986626,96.503487,16461506
2022-11-21,105.886292,108.545151,105.543480,107.892975,99.389549,8542669
2022-11-28,107.115387,107.750839,101.471573,106.178932,97.810608,17853769
2022-12-05,104.573578,108.227425,103.102005,105.150505,96.863228,15409623
2022-12-12,105.418060,108.712372,100.342812,101.747490,93.728416,25315373
2022-12-19,101.446487,103.545151,98.494980,100.451508,92.534576,15211805
2022-12-26,100.451508,101.170570,98.871239,100.267555,92.365128,9483084
2023-01-02,101.605354,106.295990,100.643814,105.953178,97.602654,12445696
2023-01-09,106.187294,108.545151,105.443146,108.285950,99.751556,12038697
2023-01-16,108.494980,108.612038,97.625420,100.877930,92.927406,20478629
2023-01-23,100.844482,103.595322,93.444817,96.362877,88.768188,33992712
2023-01-30,95.710701,101.045151,93.963211,98.235786,90.493492,25922701
2023-02-06,97.650505,98.043480,94.030098,95.217392,87.712990,15617487
2023-02-13,95.627090,96.672241,92.541809,94.473244,87.027481,15260961
2023-02-20,93.645485,93.979935,89.264214,90.133781,84.129379,14771557
2023-02-27,91.020065,93.921402,89.673912,93.026756,86.829628,26887635
2023-03-06,93.143814,93.327759,86.739128,87.006691,81.210609,20075936
2023-03-13,86.680603,87.934784,83.837791,86.137123,80.398964,34568108
2023-03-20,86.463211,88.193977,83.745819,84.565216,78.931770,17797915
2023-03-27,85.468224,87.951508,84.113708,87.884613,82.030045,17273828
2023-04-03,87.918060,88.494980,84.882942,84.916389,79.259552,15023913
2023-04-10,84.949837,89.565216,84.489967,88.436455,82.545120,17683817
2023-04-17,88.762543,89.715721,87.006691,87.357857,81.538376,19556156
2023-04-24,87.834450,89.715721,85.928093,88.812706,82.896309,21716489
2023-05-01,88.913040,89.322739,84.247490,86.413040,80.656502,14668223
2023-05-08,86.588631,86.897995,83.001671,83.837791,78.252815,15774762
2023-05-15,83.670570,84.306023,81.939796,82.801003,77.285095,18349391
2023-05-22,82.675583,85.986626,79.724083,81.053513,76.803993,21340348
2023-05-29,81.045151,87.416389,77.240807,85.727425,81.232864,31759660
2023-06-05,84.364548,85.693977,81.346153,83.528427,79.149155,25584593
2023-06-12,83.904678,87.700668,83.787628,87.408028,82.825348,22788703
2023-06-19,85.936455,86.538460,83.177261,84.214050,79.798828,18741918
2023-06-26,83.612038,84.356186,81.747490,83.687294,79.299698,25671302
2023-07-03,83.779266,84.816055,79.908028,81.346153,77.081299,17536469
2023-07-10,81.204010,87.182274,81.003342,85.535118,81.050644,21959756
2023-07-17,85.200668,87.566887,84.280937,87.232445,82.658974,14651000
2023-07-24,87.399666,94.598663,86.939796,93.545151,88.640717,31371438
2023-07-31,93.545151,93.871239,87.851173,88.219063,83.593864,22749354
2023-08-07,88.628761,89.088631,85.744148,87.416389,82.833282,13632008
2023-08-14,87.090302,87.215721,83.260872,83.620399,79.236305,18288633
2023-08-21,83.612038,84.172241,81.688965,82.734116,79.568924,14646694
2023-08-28,88.051842,90.576920,85.777596,89.423080,86.001976,31457431
2023-09-04,89.297661,90.518394,87.759193,88.829430,85.431046,15822482
2023-09-11,89.464882,90.969902,84.038460,84.498329,81.265640,28464083
2023-09-18,84.498329,85.200668,80.769234,81.137123,78.033020,19695369
2023-09-25,80.744148,81.020065,77.265884,78.277596,75.282898,21668889
2023-10-02,77.466553,77.617058,72.182274,73.913040,71.085320,35196248
2023-10-09,73.637123,76.078598,73.536789,74.147156,71.310478,15400293
2023-10-16,74.347824,76.120399,72.232445,72.366219,69.597672,15660304
2023-10-23,71.906357,75.944817,71.362877,73.177261,70.377686,25038619
2023-10-30,73.628761,79.280937,73.394646,78.478264,75.475891,19310019
2023-11-06,78.453178,78.528427,76.312706,77.600334,74.631546,14761869
2023-11-13,77.508362,81.270905,76.856186,79.715721,76.666008,23792386
2023-11-20,79.448158,80.250839,78.377930,80.225754,78.370689,11357335
2023-11-27,80.267555,83.787628,80.217392,83.486626,81.556160,22731655
2023-12-04,83.896324,87.717392,83.804352,86.429764,84.431252,20927608
2023-12-11,86.705688,89.991638,83.369568,89.448158,87.379852,37051960
2023-12-18,89.464882,89.807693,86.647156,88.904678,86.848930,16004871
2023-12-25,88.879601,92.123749,88.854515,91.404678,89.291130,12502865
2024-01-01,90.819397,92.525085,89.297661,90.794312,88.694878,12180183
2024-01-08,90.518394,92.107025,89.640465,90.401337,88.310982,14569314
2024-01-15,90.025085,90.602005,87.876251,90.100334,88.016945,13680446
2024-01-22,90.719063,91.479935,77.533447,80.259193,78.403358,61398693
2024-01-29,80.267555,81.011703,78.545151,79.322739,77.488564,25016732
2024-02-05,78.804352,79.188965,77.249161,77.675583,75.879494,23459061
2024-02-12,77.859535,79.481606,76.178932,76.295990,74.531799,26319056
2024-02-19,76.170570,77.709030,75.685616,77.408028,76.874130,18098231
2024-02-26,77.073578,77.449837,75.994980,76.806023,76.276276,20427799
2024-03-04,76.170570,79.214050,75.652176,78.511703,77.970192,24199147
2024-03-11,78.578598,88.244148,78.143814,87.792641,87.187119,74260716
2024-03-18,87.399666,91.295990,87.307693,89.280937,88.665146,35208565
2024-03-25,88.545151,89.306023,85.618729,88.687294,88.075600,23847164
2024-04-01,91.050003,95.669998,88.230003,91.029999,90.402145,37354800
2024-04-08,91.199997,93.559998,90.570000,91.309998,90.680214,18023100
2024-04-15,91.980003,92.779999,90.169998,92.269997,91.633591,16790800
2024-04-22,92.540001,94.040001,90.650002,91.830002,91.196632,18011800
2024-04-29,91.559998,99.699997,91.559998,97.150002,96.479935,43835100
2024-05-06,97.089996,99.660004,95.010002,98.930000,98.247658,18970500
2024-05-13,99.000000,105.720001,99.000000,105.260002,104.534004,26536100
2024-05-20,105.220001,106.040001,98.910004,99.669998,98.982552,18821000
2024-05-27,99.559998,100.250000,96.760002,100.139999,100.139999,35462200
2024-06-03,100.370003,101.959999,97.680000,100.860001,100.860001,20758300
2024-06-10,100.430000,103.680000,99.230003,100.900002,100.900002,17763400
2024-06-17,99.980003,102.440002,99.919998,102.389999,102.389999,18279000
2024-06-24,102.180000,104.040001,100.570000,102.190002,102.190002,21003100
2024-07-01,102.860001,103.449997,100.209999,101.320000,101.320000,9287300
2024-07-08,101.510002,105.300003,98.260002,104.040001,104.040001,17629600
2024-07-15,104.900002,105.519997,100.870003,103.919998,103.919998,16400900
2024-07-19,104.750000,104.709999,103.150002,103.919998,103.919998,2883594
